corrida,fitness,tiempo_ejecucion,interaccion,calificacion_blosum
1,14.4,40.855671405792236,1,1
2,14.4,42.27812623977661,1,1
3,14.4,38.1789755821228,1,1
4,14.4,38.1452100276947,1,1
5,14.4,38.18125295639038,1,1
6,14.4,37.351622343063354,1,1
7,14.4,37.31971716880798,1,1
8,14.4,37.635828495025635,1,1
9,14.4,40.3483726978302,1,1
10,14.4,41.99320936203003,1,1
11,14.4,38.600037813186646,1,1
12,14.4,37.116219997406006,1,1
13,14.4,37.366567611694336,1,1
14,14.4,38.705615758895874,1,1
15,14.4,40.521817684173584,1,1
16,14.4,36.91139507293701,1,1
17,14.4,38.16995334625244,1,1
18,14.4,36.6955726146698,1,1
19,14.4,36.94357991218567,1,1
20,14.4,36.89291834831238,1,1
21,14.4,36.534579038619995,1,1
22,14.4,36.801748514175415,1,1
23,14.4,41.36596870422363,1,1
24,14.4,40.64646339416504,1,1
25,14.4,44.636338233947754,1,1
26,14.4,43.35096192359924,1,1
27,14.4,38.448275089263916,1,1
28,14.2,37.3846800327301,1,1
29,14.4,39.63234806060791,1,1
30,14.4,43.58285188674927,1,1
